ranking,regionCode,firstName,lastName,teamId,teamName,age,height,weight,positionText,apps,minsPlayed,rating,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,name,date,,,
223,us,Brad,Guzan,24,Aston Villa,30,193,94,Goalkeeper,38,3420,6.818421053,0,1,0,0.131578947,0,0.184210526,0,0,0.026315789,Bryan Oviedo,1/1/2014,,,
309,eng,Bradley,Johnson,168,Norwich,27,178,68,Midfielder,32,2474,6.669375,3,1,1.28125,0.6875,0.25,0.78125,0.03125,1.03125,0.8125,Bryan Ruiz,1/1/2014,,,
558,au,Bradley,Smith,26,Liverpool,20,178,70,Defender,1,31,5.93,0,0,0,0,0,0,0,0,3,Callum Robinson,1/1/2014,,,
38,rs,Branislav,Ivanovic,15,Chelsea,30,185,91,Defender,36,3181,7.289166667,3,1,1.055555556,0.805555556,0.527777778,0.722222222,0.194444444,0.416666667,0.444444444,Calum Chambers,1/1/2014,,,
211,no,Brede,Hangeland,170,Fulham,33,195,85,Defender,23,1909,6.83826087,0,0,0.173913043,0.086956522,0.47826087,0.260869565,0,0.260869565,0.173913043,Cameron Jerome,1/1/2014,,,
526,us,Brek,Shea,96,Stoke,24,191,82,Midfielder,1,31,6.1,0,0,0,0,0,0,0,1,1,Cameron Jerome,1/1/2014,,,
247,cr,Bryan,Ruiz,170,Fulham,29,188,78,Forward,12,778,6.779166667,1,3,0.916666667,1.25,1.166666667,1.666666667,0.083333333,2.583333333,1.333333333,Carl Jenkinson,1/1/2014,,,
28,cr,Bryan,Oviedo,31,Everton,24,172,69,Defender,9,720,7.354444444,2,2,1.666666667,0.888888889,0.666666667,1.111111111,0.111111111,1.222222222,0.888888889,Carlos Cuellar,1/1/2014,,,
559,None,Buomesca Tue,Na Bangna,170,Fulham,21,175,66,Midfielder,1,18,5.85,0,0,0,0,0,1,0,1,2,Carlton Cole,1/1/2014,,,
525,eng,Callum,Robinson,24,Aston Villa,19,178,75,Forward,4,46,6.1,0,0,0.25,0.25,0,0.5,0.25,0.5,0.5,Cauley Woodrow,1/1/2014,,,
198,eng,Calum,Chambers,18,Southampton,19,183,66,Defender,22,1645,6.859090909,0,0,0.227272727,0.545454545,0.772727273,0.5,0,0.727272727,1.136363636,Charalampos Mavrias,1/1/2014,,,
337,eng,Cameron,Jerome,162,Crystal Palace,28,185,85,Forward,28,1770,6.624285714,2,1,1.428571429,0.964285714,0.464285714,0.678571429,0.928571429,0.857142857,1.464285714,Charlie Adam,1/1/2014,,,
513,eng,Cameron,Jerome,96,Stoke,28,185,85,Forward,1,4,6.14,0,0,1,0,0,0,0,0,0,Cheick Tiote,1/1/2014,,,
312,eng,Carl,Jenkinson,13,Arsenal,22,185,77,Defender,14,800,6.667857143,1,2,0.142857143,0.285714286,0.571428571,0.285714286,0,0.071428571,0.357142857,Chris Brunt,1/1/2014,,,
221,es,Carlos,Cuéllar,16,Sunderland,33,190,84,Defender,4,343,6.82,0,0,0,0.25,0.25,0.75,0,0,0.25,Chris David,1/1/2014,,,
428,eng,Carlton,Cole,29,West Ham,31,191,84,Forward,26,853,6.426923077,6,0,0.807692308,0.346153846,0.115384615,0.423076923,0.384615385,1.192307692,1.5,Chris Herd,1/1/2014,,,
352,eng,Cauley,Woodrow,170,Fulham,20,184,74,Forward,6,414,6.593333333,1,0,1.666666667,0.666666667,0.833333333,0.5,0.833333333,2,1.666666667,Chris Smalling,1/1/2014,,,
43,es,César,Azpilicueta,15,Chelsea,25,178,75,Defender,29,2282,7.263103448,0,0,0.172413793,0.413793103,0.24137931,0.827586207,0.034482759,0.275862069,0.482758621,Christian Benteke,1/1/2014,,,
501,gr,Charalampos,Mavrias,16,Sunderland,20,177,74,Midfielder,4,152,6.215,0,0,0,0.5,0.25,0.25,0,0.75,0.25,Christian Eriksen,1/1/2014,,,
229,sct,Charlie,Adam,96,Stoke,28,185,83,Midfielder,31,1775,6.812258065,7,4,1.870967742,1.064516129,0.64516129,1,0,1,1.096774194,Chuba Akpom,1/1/2014,,,
128,ci,Cheick,Tioté,23,Newcastle United,28,175,76,Midfielder,33,2767,7.012424242,0,1,1.333333333,0.727272727,1.181818182,1.666666667,0,1.242424242,1.181818182,Ciaran Clark,1/1/2014,,,
2,nl,Chris,David,170,Fulham,21,170,71,Midfielder,1,67,8.12,1,0,3,2,1,2,0,5,1,Claudio Yacob,1/1/2014,,,
126,nir,Chris,Brunt,175,West Bromwich Albion,29,185,84,Midfielder,28,2245,7.013928571,3,5,1.75,1.464285714,0.428571429,0.357142857,0.178571429,0.678571429,0.535714286,Clint Dempsey,1/1/2014,,,
303,au,Chris,Herd,24,Aston Villa,25,173,76,Midfielder,2,172,6.675,0,0,0,0,0,3,0,0,0,Connor Wickham,1/1/2014,,,
67,eng,Chris,Smalling,32,Manchester United,25,194,90,Defender,25,1940,7.1664,1,0,0.52,0.44,0.56,0.6,0.16,0.16,0.44,Costel Pantilimon,1/1/2014,,,
44,be,Christian,Benteke,24,Aston Villa,24,190,83,Forward,26,2133,7.26,10,2,2.576923077,1.807692308,0.653846154,1.653846154,1.153846154,2.307692308,2.576923077,Craig Bellamy,1/1/2014,,,
54,dk,Christian,Eriksen,30,Tottenham,22,175,71,Midfielder,25,1995,7.2232,7,8,1.92,2.72,1,0.56,0,1.64,1.36,Craig Dawson,1/1/2014,,,
552,eng,Chuba,Akpom,13,Arsenal,19,183,70,Forward,1,1,6,0,0,0,0,0,0,0,0,0,Craig Gardner,1/1/2014,,,
195,ie,Ciaran,Clark,24,Aston Villa,25,188,76,Defender,27,2206,6.860740741,0,0,0.518518519,0.259259259,0.185185185,0.592592593,0.037037037,0.111111111,0.222222222,Craig Noone,1/1/2014,,,
207,ar,Claudio,Yacob,175,West Bromwich Albion,27,181,77,Midfielder,27,1853,6.842222222,1,0,0.407407407,0.333333333,0.333333333,0.888888889,0,0.666666667,0.444444444,Curtis Davies,1/1/2014,,,
532,us,Clint,Dempsey,170,Fulham,31,186,78,Midfielder,5,357,6.078,0,0,1.6,0.2,0.4,0.8,0.6,1.6,0.2,Damien Delaney,1/1/2014,,,
224,eng,Connor,Wickham,16,Sunderland,21,191,90,Forward,15,852,6.817333333,5,1,1.733333333,0.333333333,0.666666667,1.466666667,0.266666667,1.933333333,1.533333333,Damien Duff,1/1/2014,,,
259,ro,Costel,Pantilimon,167,Manchester City,27,203,96,Goalkeeper,7,630,6.75,0,0,0,0,0,0,0,0,0,Dan Burn,1/1/2014,,,
153,eng,Craig,Dawson,175,West Bromwich Albion,24,188,78,Defender,12,951,6.945,0,2,1.166666667,0.333333333,0,0.5,0.083333333,0.166666667,0.5,Dan Gosling,1/1/2014,,,
