ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,name,date,,,
52,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ashley,Williams,8408,TRUE,TRUE,259,Swansea,-DC-,30,183,77,Defender,34,0,3041,7.231176471,1.558823529,2.352941176,0.882352941,0.558823529,9.235294118,0.382352941,1.058823529,0,Ashley Williams,1/1/2014,,,
370,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ashley,Young,8166,TRUE,TRUE,32,Manchester United,-AMC-AML-AMR-,29,180,65,Midfielder,20,7,1040,6.5505,0.65,0.5,0.9,0.05,0.75,0.15,0.05,0,Ashley Young,1/1/2014,,,
117,3853,2013/2014,2,252,gb,ba,Premier League,EPL,Asmir,Begovic,23122,TRUE,TRUE,96,Stoke,-GK-,27,198,83,Goalkeeper,32,0,2880,7.04875,0,0.03125,0,0,0.625,0.0625,0,0,Asmir Begovic,1/1/2014,,,
62,3853,2013/2014,2,252,gb,fr,Premier League,EPL,Bacary,Sagna,19471,FALSE,TRUE,13,Arsenal,-DC-DR-,31,176,72,Defender,35,1,3061,7.201714286,1.657142857,1.457142857,0.657142857,0.428571429,5.028571429,0.4,0.2,0,Bacary Sagna,1/1/2014,,,
321,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Barry,Bannan,70100,TRUE,TRUE,162,Crystal Palace,-MC-ML-MR-,24,170,60,Midfielder,15,2,1016,6.650666667,1.066666667,0.8,0.466666667,0,0.466666667,0.8,0.266666667,0,Barry Bannan,1/1/2014,,,
167,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ben,Davies,103837,FALSE,TRUE,259,Swansea,-DL-,21,181,71,Defender,34,2,2877,6.914117647,2.235294118,1.852941176,0.676470588,0.205882353,3.294117647,1.588235294,0.323529412,0,Ben Davies,1/1/2014,,,
349,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ben,Foster,11530,TRUE,TRUE,175,West Bromwich Albion,-GK-,31,193,79,Goalkeeper,24,0,2149,6.5975,0.083333333,0.083333333,0.041666667,0,0.583333333,0,0,0,Ben Foster,1/1/2014,,,
150,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ben,Turner,20335,TRUE,TRUE,188,Cardiff,-DC-,26,193,91,Defender,31,1,2721,6.952258065,1.193548387,1.225806452,0.838709677,0.870967742,9.35483871,0.35483871,1.064516129,0,Ben Turner,1/1/2014,,,
144,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Billy,Jones,8236,FALSE,TRUE,175,West Bromwich Albion,-DL-DR-,27,183,77,Defender,21,0,1744,6.96952381,2,1.238095238,0.80952381,0.333333333,3.666666667,0.428571429,0.523809524,0,Billy Jones,1/1/2014,,,
327,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Boaz,Myhill,8462,TRUE,TRUE,175,West Bromwich Albion,-GK-,32,191,91,Goalkeeper,14,0,1260,6.639285714,0.071428571,0,0,0,0.785714286,0,0,0,Boaz Myhill,1/1/2014,,,
